SMILES,logP,QED
O=S1(=O)N=C(N(CCO)/N=C/c2cc(Cl)ccc2ON2CCCC[C@H]2C2OCCO2)c2ccccc21,2.6385000000000005,0.42588781437784695
O=C1C[C@H](c2cccc3[nH]ccc23)c2c(nc3ccccn23)CN1[C@H]1C[NH2+]CCC12Cc1ccccc1C2,3.8007000000000026,0.3855992891713723
Cc1ccc2oc(C3CCCN(S(=O)(=O)N4CC[C@H]5[C@H](CCC[NH+]5C)C4)C3)cc2c1,2.1644200000000016,0.8087749513505039
CCN1C2=C(C(=O)CC(C)(C)C2)[C@@H](c2ccc3c(c2)OCCCO3)n2ncnc21,3.5119000000000025,0.7763829227524883
CC(C)(CCCCBr)[C@H]1NCCc2c1[nH]c1ccccc21,4.946100000000005,0.5803558494399308
CS(=O)(=O)CCCC(=O)c1cc([N+](=O)[O-])ccc1/C(=N\O)c1ccncc1,2.2239000000000004,0.23909953504533982
C[C@H]1CCC[C@@](O)(CC2(C)SC(=S)N(/N=C\c3cccnc3)[C@H]2N(O)C=O)CC1,3.4030000000000022,0.17638652309134706
CC[C@@H](C)[C@H](C(=O)[O-])N1[CH]CC([O-])=N/C1=N\c1ccc(Cl)cc1Cl,1.7717899999999998,0.7910419387551219
O[C@H]1CCC[C@H]([C@@H]2CCO[C@]3(CCSC3)C2)C1c1cn2ccccc2n1,3.8812000000000033,0.8689592778546417
Cc1nc2cc(C3C[C@@]4(C)C(=C/C3=N\O)CC[C@H]3[C@H]4CC[C@]4(C)[C@H](O)CC[C@@H]34)ccc2[nH]1,5.718720000000006,0.3973750448329593
C[C@@]12CC(N3CCCOC3=O)[CH]C=C1C=C[C@@H]1[C@H]3CC[C@@]4(CCC(=O)O4)[C@]3(C)CC[C@@H]12,4.826090000000004,0.5661458801667071
C[C@@H]1CN(C2NCN=c3s/c(=C\c4cccnc4)c(=O)n32)c2cc(Cl)ccc2O1,1.7108999999999999,0.6737877861000466
O=C1O[CH]N(c2ccccc2[C@H]2NCCn3cnnc32)c2ccccc21,2.3984900000000007,0.7186021765392251
CN1C(=O)N=C([O-])C2=NC(c3cccc(-c4ncc(N=C5CCCCC5)cn4)c3)=N[C@@H]21,2.5317000000000007,0.766463985547436
Cc1cccn2c(=O)c(/C=N/c3ccccc3NS(=O)(=O)[C@@H]3CCCOC3)cnc12,2.674220000000001,0.6321745452512396
Cc1c(F)cc(F)c2c1[C@H](O)CC2(C)C[C@H]1S[C@@H](C)C/C(=N\NC(N)=S)[C@@H]1C,4.077420000000002,0.5009353448293337
Cc1cccc([N+]2=CCC(C)(C)[NH+]=C2[S-])c1-c1ccccc1,2.542620000000001,0.6662674515104267
Cc1ccc2cnn(C(=O)C3CCCc4cc5c(cc43)OCCC[C@@H]5[NH2+])c2c1,3.346420000000002,0.7091074812622068
O=CNNS(=O)(=O)c1ccc(F)c(Cl)c1[NH+]1[CH][C@H]2CCCC[C@]2(O)CC1,0.4215899999999999,0.4211772736204434
CC1(C)[C@@H]2CC=C(/C=N/NC(=O)[SH]=C3N=C([O-])/C(=C\NN4CCOCC4)C(=O)N3)[C@H]1C2,-0.1635999999999984,0.15573075057809227
CC(=O)C1=C(C)Nc2nc3ccccc3n2[C@H]1c1ccccc1-c1cccc(C)c1C,6.198040000000005,0.43987254364842043
NC(=S)C1CC[NH+](c2cc(F)ccc2S(=O)(=O)CCCC=O)CC1,0.791,0.31965212042103786
Cc1cccn2c(=O)c3ccc(NC(=O)[C@@H](C)[S@](=O)CCC(C)C)[n+](C4CCCCC4)c3nc12,4.070620000000003,0.40554768821301146
Cn1c(O)c(C2=NN(N3C(=O)c4ccccc4C(C)(C)C3=O)[CH]C2)c(=O)n(C)c1=S,1.60568,0.5785060953511054
CC1=C(C=O)[C@@H](c2ccc(F)cc2[C@@H]2Nc3ccc(Br)cc3NC2=O)c2c([nH]c(=S)[nH]c2=O)N1,4.469690000000002,0.24634886704589284
CC(C)[C@H](C[NH3+])N1[CH]CC([C@@H]2C(=O)[NH+]=c3ccc([N+](=O)[O-])cc3=C2c2ccccc2)=N1,-0.8596099999999953,0.46708633395375915
C[C@H]1CC[C@](C#N)([C@]2(O)CCC[NH+](C)CC2)C1[NH+]1[C@@H]2CC[C@H]1CC(O)C2,-0.7048199999999956,0.5240375423670779
NC(=S)N/N=c1\sc2ccccc2n1CN[C@@H]1CCSc2ccc(Cl)cc21,3.7893000000000026,0.4294366005332099
Cc1ccc(/N=C2/C=C([O-])[C@@H](NO)c3ccccc32)cc1-c1nccs1,3.5170200000000014,0.6987828818896997
O=C1c2cccc3c([SH](=O)=O)ccc(c23)N1SC1=NC=NC2=NC=N[C@H]21,1.6678999999999997,0.6290819811434113
CCC[S@@](=O)[C@H]1CCCC(C)(C)[C@@H]1Cc1c(C)ccc2c1NC(=O)/C2=N\NC,3.766720000000003,0.7105348080944732
Cc1cc2c(cc1C)NC1=C([CH]N2)C(=O)CC(C)(C)C1[C@H]1C=C[C@H]([NH3+])C1,3.358530000000001,0.679698730561453
Cc1ccc2nnc(-c3cc(F)ccc3[C@@H]3[C@H](C#N)C(=O)Nc4nc5ccccc5n43)cc2c1,4.775300000000003,0.4194333317214083
C[C@@H]([CH]C(=O)NNc1ccccc1)CCN1C[C@@H]2[C@H](C1)C2(C)C,2.9479900000000017,0.7606457266583023
Cc1ccc(S(=O)(=O)c2ccccc2S(=O)(=O)[C@H](CCC=O)C(N)=O)cc1N,1.0167199999999994,0.4732597785504489
Cc1cc(C)c2c(c1)C(C1C(C=O)=NN(c3ccccc3)[C@H]1C#N)C(=O)N2,2.922620000000001,0.8550223233522717
Cc1oc2ncn(C)c(=O)c2c1-c1cc([N+](=O)[O-])ccc1/N=N/c1ccc(N)cc1,4.407720000000004,0.23099473187388106
