SMILES,logP,QED,NumAtoms
C[C@]12C(=O)N(N)C(=O)[C@H]1C1c3ccccc3C2c2ccccc21,2.1424000000000003,0.4606288108438784,23
CC[C@@H](C=O)[C@@H]1c2cc(Br)ccc2OC(=O)[C@@H]1c1ccc(C)cc1,4.769020000000004,0.43134492098078114,24
[NH3+]CCCCC/C(=N/O)c1ccccn1,1.0621999999999994,0.317380193950577,15
CC[C@@H](C=O)[C@@H]1c2cc(Br)ccc2OC(=O)[C@@H]1c1ccc([N+](=O)[O-])cc1,4.368800000000004,0.23670538960983964,26
C/C(=N\NS(=O)(=O)c1ccc(C)cc1)[C@H]1Cc2ccccc2C(=O)O1,2.4309200000000004,0.51672496996525,25
CC1(C)OCc2sc3c(c2C1c1ccc([N+](=O)[O-])cc1)c1ncnn1c1nncn31,3.335600000000002,0.317247704499714,30
C=CCC/C([O-])=N/S(=O)(=O)c1cccs1,1.1618000000000002,0.4431600764107268,15
Cc1ccc(C2=NN(C(=O)CCC(=O)[O-])[CH]C2)cc1,0.6233100000000003,0.7944434572611394,19
Cc1cc([N+](=O)[O-])ccc1/N=C/c1ccc(Cl)c([N+](=O)[O-])c1,4.215420000000003,0.47828969891260115,22
Nc1nnc(/N=C/c2cccc([N+](=O)[O-])c2)s1,1.7791,0.5064181290570428,17
C[CH]C(=O)N1N=C(c2ccc(Cl)cc2)C[C@@H]1c1ccccc1,4.241890000000003,0.8340794589776698,22
CC1=C(C=O)[C@H](c2cccc([N+](=O)[O-])c2-c2ccc3ccccc3c2)n2c(cc(=O)[nH]c2=O)N1,3.7528000000000015,0.2746556404275618,34
CC(=O)NNS(=O)(=O)c1cc(Cl)c(C)c([N+](=O)[O-])c1-c1ccc([N+](=O)[O-])cc1,2.461220000000001,0.52682657250229,28
CCC/[NH+]=C(/N)N[C@H]1CCOc2ccccc21,-0.09489999999999932,0.5056416258354792,17
C[C@@H]1C[C@]2(C)[C@@H](CC[C@H]3[C@@H]2CC[C@]2(C)[C@H](O)CC[C@@H]32)C/C1=N\N,3.950700000000002,0.5246228635548597,23
C[C@@H]1C[C@H](C)CN(S(=O)(=O)N2CCCC(c3c[nH]c4ccccc34)C2)C1,3.570000000000002,0.8915445823513733,26
S[C@H]1N=N[C@H]([C@@H]2C=C(c3ccccc3)N=N2)N1/N=C/c1ccc(Cl)c(Cl)c1,5.510100000000002,0.5174847920207404,27
C/C(N)=[NH+]\Nc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],-0.7123999999999997,0.274724234789429,17
CC1=C[C@@H]([C@H]2NN[C@H](S)N2/N=C/c2cc([N+](=O)[O-])ccc2Cl)N=N1,2.2695999999999996,0.327277187839894,24
C[C@@]1(Oc2ccccc2)[CH][C@@H](c2cccc([N+](=O)[O-])c2)c2c(O)n[nH]c2C1,3.753490000000002,0.5421748035938211,27
Cc1ccc(S(=O)(=O)[N-]/N=C/C2=Cc3cc(Cl)cc(Cl)c3OC2)cc1[N+](=O)[O-],4.734220000000003,0.3780893010531372,28
Cc1c(Cl)cc(S(=O)(=O)NNC=O)c(-c2ccccc2)c1[N+](=O)[O-],2.1629199999999997,0.45918889441895827,24
COc1cccc(/C=N/NC(=O)C2=NN=C(C3=C(C)NN(c4ccccc4)[C@@H]3C)C2)c1,3.0333000000000014,0.5594469491152649,31
C(=N/c1ccc2c(c1)oc1ccccc12)\c1cccnc1,4.731600000000004,0.49459062400395587,21
COC1c2c(sc3c2c2ncnn2c2nncn32)COC1(C)C,1.9829999999999999,0.5309071385041166,23
CC(C)(C)NN1[CH]NN[C@H]1[C@H]1C=C(c2ccccc2)N=N1,2.02019,0.7948176123624493,21
Cc1ccc(S(=O)(=O)/N=C(/N=C(\[S-])N2CCOCC2)c2ccccc2)cc1,2.3656200000000007,0.44779063272485825,27
O=[N+]([O-])c1ccc(Nn2cccc2)cn1,1.6664999999999999,0.609187215109621,15
O=S(=O)([O-])ON=C1c2ccccc2-c2ccccc21,1.8962000000000006,0.4059088416242586,19
CC(=O)NN1C(=O)NC2(CCCCC2)C1=O,0.29219999999999935,0.6295357349144615,16
CC(=O)C1[CH]C=C2C=C[C@@H]3[C@H]4CC[C@@]5(CCC(=O)O5)[C@]4(C)CC[C@@H]3[C@]2(C)C1,4.820390000000005,0.6241333264535271,27
C=CCO[C@]1(C)[CH][C@@H](c2cccc([N+](=O)[O-])c2)c2c(O)n[nH]c2C1,2.8770900000000017,0.4990850093925492,24
C[CH]C(=O)N/N=C/c1ccc(O)cc1Oc1ccccc1,2.8587900000000017,0.6544455491914918,21
O=c1[nH]c2ccccc2nc1/C(=N\Nc1ccc(I)cc1)[C@@H](O)[C@H](O)CO,1.0579999999999996,0.2038737027765284,27
O=C1c2ccccc2C(=O)N1/N=C/c1cccc2ccccc12,3.4699000000000018,0.5372553163506761,23
C[CH]C(=O)N1N=C(c2ccc(Cl)cc2)C[C@@H]1OC,2.47309,0.8425291656052154,18
N=C1CC(=O)N=C2SC(c3cccnc3)=NN12,1.05557,0.8014947301708536,17
O=c1ccc2c(ccc3ccccc32)o1,2.946200000000001,0.40845614689355175,15
CC1(C)CC(=O)C2=C(C1)Oc1nc(N)c(C#N)c(N)c1[C@H]2c1cccc(Br)c1,4.0476800000000015,0.6930052039276291,28
CC1=NO[C@@]2([CH]1)C(=O)Nc1ccccc12,1.44439,0.6901410839441088,15
Cc1cc(C)nc(/N=C(\NC(N)=S)N2CCc3ccccc3C2c2ccccc2)n1,3.561840000000002,0.37777298524230507,30
Cc1cc(C)nc(S(=O)(=O)[C@H]2CCNC2C(C)(C)C)n1,1.6437399999999993,0.8403091435838866,20
N#C[C@H]1[CH]C2=C([O-])N=C(N3CCC4(CC3)OCCO4)NC2=NC1=O,-1.3608299999999973,0.5820412603490616,24
O=C1Nc2c(Cl)cccc2[C@]12CC(O)=Nc1[nH]ncc12,2.293,0.6944867852543447,20
Nc1cncnc1NN(c1ccccc1)c1ccccc1,3.224000000000001,0.7166324616562201,21
O=[N+]([O-])c1cccc(/C(=N/N=C/c2ccccc2)C23CN4CN(C[NH+](C4)C2)C3)c1,0.8066,0.4647712185653577,29
C[C@H]1CC(C)(C)C[C@]2(C1)NC(=O)NC2=O,1.4107999999999998,0.5938380605928834,15
O=C1OCCN1/N=C\c1ccc([N+](=O)[O-])o1,0.9739,0.4333097720182961,16
Cc1cccn2c(=O)c3ccc(Nc4ccc([N+](=O)[O-])cc4)[n+](C4CCCCC4)c3nc12,4.600620000000004,0.22101180657744576,32
OC1=Nc2c(Br)cc(Br)c3cccc1c23,4.314500000000002,0.7681803911257737,15
Cn1c(=O)n(C)c2c(N=[N+]=[N-])ncc([N+](=O)[O-])c21,1.1219999999999994,0.2590366895474387,18
O=c1[nH]cnc2sc3c(c12)CCCCC3c1ccccc1,3.842900000000002,0.6934000391931398,21
C[C@H]1CCC[C@]2(C)C[C@H]3OC(=O)[CH][C@H]3C=C12,2.8886900000000013,0.46232827714681823,16
O=[N+]([O-])c1ccc(O)c2c1[C@H]1C=CC[C@@H]1[CH]N2,2.547390000000001,0.33684824233449806,17
O=C1C([C@@H]2C[C@H](c3ccc4ccccc4c3)[CH][NH+]=N2)=C([O-])c2ccccc21,2.3581900000000013,0.7685163260274583,27
Cc1ccc(/C=[N+](\[O-])[C@H]2N(C)C(=S)SC2(C)C)cc1,2.992420000000002,0.2756371303662876,19
C=C(Cc1ccoc1)[C@H]1CC=C(C)C[C]1S(=O)(=O)c1ccccc1,4.740490000000004,0.7380070559010194,24
O=S(=O)(/N=C(\c1ccccc1)N1CCc2ccccc2C1)c1ccc(F)cc1,4.019500000000003,0.4980202813154529,28
CC(C)/C([O-])=N/S(=O)(=O)c1ccc([N+](=O)[O-])nc1C1CCCCC1,2.141,0.34498282233001015,24
O=C1N=CN=C2N=c3nc4ccccc4nc3=C12,-0.6193000000000002,0.61001955760358,18
CC(C)/C([O-])=N/S(=O)(=O)c1ccc([N+](=O)[O-])nc1-c1ccccc1,1.7603000000000002,0.3506269719214833,24
C[C@@H]1C/C(=N\NC(=O)C(N)=O)CC(C)(C)C1,0.7900999999999994,0.5104570778690848,16
C[C@]12CCCC[C@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](C3=CC(=O)OC3)CC[C@]12O,4.633500000000005,0.6950536412467102,26
CCCN1C(=O)C2(OCCO2)c2cc(Br)ccc21,2.4053000000000004,0.8416391428199221,18
Cc1nc2ccccc2c(=O)n1/N=C/c1cccc([N+](=O)[O-])c1,2.4953200000000004,0.42208934186657143,23
C[C@H]1CC(=O)NN=C1c1ccc(NN=C(C#N)C#N)cc1,1.3617599999999999,0.6423198478718842,21
CC1CCC2(CC1)[C@H](C#N)C(=S)N=C([O-])[C@@H]2C#N,1.56226,0.6187132369849235,18
Cc1ccc([S@@](=O)[C@H]2CCNC2C(C)(C)C)cc1C,3.187640000000002,0.9005850448419316,19
O=C([O-])C[C@@H]1OC(=O)c2cc3c(cc21)C(=O)O[C@H]3CC(=O)[O-],-1.6103999999999994,0.606519730298897,22
CC(C)C(=O)CC[C@@H]1CCc2cccnc21,3.1167000000000016,0.7752632309234421,16
CC(=O)NNC(=O)CCS(=O)(=O)c1ccccc1,0.01770000000000027,0.754225642128454,18
Nc1c(S(=O)(=O)[O-])cc(O)c2c1C(=O)c1ccccc1C2=O,0.6539000000000004,0.3814868558144029,22
C[C@H]1CCc2c(cnc3cccc[n+]23)C1,1.9450999999999998,0.5925694732028141,15
CC(=O)N/N=C(\C)c1ccc(C)c(C)c1-c1ccc(Cl)cc1,4.483940000000004,0.6581837519603387,22
Cc1c(Cl)cc(S(=O)(=O)NNC=O)c(N2CCOCC2)c1[N+](=O)[O-],0.3325199999999999,0.4140184764828692,24
COc1cc([N+](=O)[O-])ccc1/C=N/NC(C)=O,1.0734,0.4811721082594334,17
O/N=C(\c1ccccc1)c1cc(O)ccc1O,2.3244000000000002,0.32004414775641987,17
C/C(=N\Nc1nnc2c(n1)[nH]c1c(C)cccc12)c1cccs1,3.7121200000000014,0.44499280474117664,23
CC(=O)c1cc(Cl)ccc1/[N+]([O-])=C/c1ccc(O)cc1,3.509100000000002,0.3091110241902489,20
CC(=O)C12c3ccccc3C(c3ccccc31)[C@@H]1C(=O)NC(=O)[C@H]12,1.9094,0.8173242352195703,24
